test_id,parameter,value,execution_time,rows,throughput,sample_fraction
20250504_231456,cores,4,40.20281767845154,10305349,256333.99833871852,0.2
20250504_231456,cores,8,13.712455987930298,10305349,751531.965467803,0.2
20250504_231456,cores,12,12.537468910217285,10305349,821964.0721582774,0.2
20250504_231456,cores,16,13.368675231933594,10305349,770857.9063528851,0.2
20250504_231456,memory,2g,23.457669973373413,10305349,439316.8209671936,0.2
20250504_231456,memory,4g,29.811673164367676,10305349,345681.67117561994,0.2
20250504_231456,memory,8g,28.54438090324402,10305349,361028.98973117385,0.2
20250504_231456,memory,16g,26.133880376815796,10305349,394329.0797773072,0.2
20250504_231456,parallelism,1,35.390079498291016,10305349,291193.1576897883,0.2
20250504_231456,parallelism,2,33.59937882423401,10305349,306712.4857846219,0.2
20250504_231456,parallelism,4,23.834588766098022,10305349,432369.4904549048,0.2
20250504_231456,parallelism,8,15.624086141586304,10305349,659580.9128682712,0.2
20250504_231456,parallelism,16,13.556044816970825,10305349,760203.2258774126,0.2
